Date,o
2018-05-18,"{'h': None, 'l': None, 'v': 56.62916928433997}"
2018-05-19,"{'h': None, 'l': None, 'v': 56.11592464955842}"
2018-05-20,"{'h': None, 'l': None, 'v': 56.88483962979228}"
2018-05-21,"{'h': None, 'l': None, 'v': 57.48800754849514}"
2018-05-22,"{'h': None, 'l': None, 'v': 56.125258458149744}"
2018-05-23,"{'h': None, 'l': None, 'v': 53.06477785418216}"
2018-05-24,"{'h': None, 'l': None, 'v': 51.39546941211626}"
2018-05-25,"{'h': None, 'l': None, 'v': 51.0478920406134}"
2018-05-26,"{'h': None, 'l': None, 'v': 51.03609005296944}"
2018-05-27,"{'h': None, 'l': None, 'v': 49.91281197677902}"
2018-05-28,"{'h': None, 'l': None, 'v': 49.41797856787755}"
2018-05-29,"{'h': None, 'l': None, 'v': 49.71768868494554}"
2018-05-30,"{'h': None, 'l': None, 'v': 50.6918199593078}"
2018-05-31,"{'h': None, 'l': None, 'v': 51.161006016041}"
2018-06-01,"{'h': None, 'l': None, 'v': 51.03888786928211}"
2018-06-02,"{'h': None, 'l': None, 'v': 51.92745522363676}"
2018-06-03,"{'h': None, 'l': None, 'v': 52.58623658393471}"
2018-06-04,"{'h': None, 'l': None, 'v': 51.66116593616556}"
2018-06-05,"{'h': None, 'l': None, 'v': 51.06167889253629}"
2018-06-06,"{'h': None, 'l': None, 'v': 51.78626119899023}"
2018-06-07,"{'h': None, 'l': None, 'v': 52.51901686700705}"
2018-06-08,"{'h': None, 'l': None, 'v': 51.94620831896136}"
2018-06-09,"{'h': None, 'l': None, 'v': 51.91492521619421}"
2018-06-10,"{'h': None, 'l': None, 'v': 47.02210645253688}"
2018-06-11,"{'h': None, 'l': None, 'v': 44.59567846739581}"
2018-06-12,"{'h': None, 'l': None, 'v': 44.54207952489228}"
2018-06-13,"{'h': None, 'l': None, 'v': 42.5155755664821}"
2018-06-14,"{'h': None, 'l': None, 'v': 42.876321712642934}"
2018-06-15,"{'h': None, 'l': None, 'v': 42.749705603987344}"
2018-06-16,"{'h': None, 'l': None, 'v': 41.060701131094575}"
2018-06-17,"{'h': None, 'l': None, 'v': 41.36054646376386}"
2018-06-18,"{'h': None, 'l': None, 'v': 41.34307683411263}"
2018-06-19,"{'h': None, 'l': None, 'v': 42.464935798907575}"
2018-06-20,"{'h': None, 'l': None, 'v': 42.22803704899307}"
2018-06-21,"{'h': None, 'l': None, 'v': 42.53056957193556}"
2018-06-22,"{'h': None, 'l': None, 'v': 40.16252876362771}"
2018-06-23,"{'h': None, 'l': None, 'v': 38.52254337481826}"
2018-06-24,"{'h': None, 'l': None, 'v': 37.80044769068826}"
2018-06-25,"{'h': None, 'l': None, 'v': 38.65978476148942}"
2018-06-26,"{'h': None, 'l': None, 'v': 37.578863677802744}"
2018-06-27,"{'h': None, 'l': None, 'v': 37.02662079335579}"
2018-06-28,"{'h': None, 'l': None, 'v': 36.95653243905949}"
2018-06-29,"{'h': None, 'l': None, 'v': 35.83696196341136}"
2018-06-30,"{'h': None, 'l': None, 'v': 38.41486215235793}"
2018-07-01,"{'h': None, 'l': None, 'v': 38.412160896071924}"
2018-07-02,"{'h': None, 'l': None, 'v': 38.97279430601761}"
2018-07-03,"{'h': None, 'l': None, 'v': 39.80568820376866}"
2018-07-04,"{'h': None, 'l': None, 'v': 39.726031793114764}"
