,Date,GTREND_BTC
289,2019-10-17,38
290,2019-10-18,42
291,2019-10-19,35
292,2019-10-20,38
293,2019-10-21,38
294,2019-10-22,42
295,2019-10-23,63
296,2019-10-24,53
297,2019-10-25,59
298,2019-10-26,100
299,2019-10-27,54
300,2019-10-28,59
301,2019-10-29,55
302,2019-10-30,49
303,2019-10-31,44
304,2019-11-01,67
305,2019-11-02,60
306,2019-11-03,56
307,2019-11-04,63
308,2019-11-05,65
309,2019-11-06,66
310,2019-11-07,57
311,2019-11-08,65
312,2019-11-09,58
313,2019-11-10,50
314,2019-11-11,60
315,2019-11-12,62
316,2019-11-13,52
317,2019-11-14,59
318,2019-11-15,61
319,2019-11-16,60
320,2019-11-17,54
321,2019-11-18,57
322,2019-11-19,67
323,2019-11-20,63
324,2019-11-21,71
325,2019-11-22,90
326,2019-11-23,66
327,2019-11-24,61
328,2019-11-25,100
329,2019-11-26,74
330,2019-11-27,77
331,2019-11-28,61
332,2019-11-29,58
333,2019-11-30,58
334,2019-12-01,67
335,2019-12-02,67
336,2019-12-03,70
337,2019-12-04,72
338,2019-12-05,66
339,2019-12-06,68
340,2019-12-07,65
341,2019-12-08,61
342,2019-12-09,59
343,2019-12-10,64
344,2019-12-11,60
345,2019-12-12,66
346,2019-12-13,68
347,2019-12-14,56
348,2019-12-15,65
349,2019-12-16,71
350,2019-12-17,91
351,2019-12-18,100
352,2019-12-19,73
353,2019-12-20,69
354,2019-12-21,65
355,2019-12-22,75
356,2019-12-23,74
357,2019-12-24,56
358,2019-12-25,60
359,2019-12-26,67
360,2019-12-27,67
361,2019-12-28,71
362,2019-12-29,64
363,2019-12-30,62
364,2019-12-31,68
365,2020-01-01,55
366,2020-01-02,70
367,2020-01-03,68
368,2020-01-04,69
369,2020-01-05,60
370,2020-01-06,65
371,2020-01-07,91
372,2020-01-08,96
373,2020-01-09,73
374,2020-01-10,77
375,2020-01-11,70
376,2020-01-12,61
377,2020-01-13,60
378,2020-01-14,93
379,2020-01-15,100
380,2020-01-16,71
381,2020-01-17,78
382,2020-01-18,70
383,2020-01-19,73
384,2020-01-20,78
385,2020-01-21,71
386,2020-01-22,66
387,2020-01-23,68
388,2020-01-24,59
389,2020-01-25,58
390,2020-01-26,53
391,2020-01-27,69
392,2020-01-28,76
393,2020-01-29,86
394,2020-01-30,78
395,2020-01-31,82
396,2020-02-01,64
397,2020-02-02,63
398,2020-02-03,64
399,2020-02-04,69
400,2020-02-05,76
401,2020-02-06,79
402,2020-02-07,71
403,2020-02-08,68
404,2020-02-09,99
405,2020-02-10,79
406,2020-02-11,89
407,2020-02-12,100
408,2020-02-13,89
409,2020-02-14,84
410,2020-02-15,80
411,2020-02-16,80
412,2020-02-17,75
413,2020-02-18,71
414,2020-02-19,78
415,2020-02-20,72
416,2020-02-21,69
417,2020-02-22,60
418,2020-02-23,64
419,2020-02-24,78
420,2020-02-25,85
421,2020-02-26,79
422,2020-02-27,87
423,2020-02-28,86
424,2020-02-29,63
425,2020-03-01,24
426,2020-03-02,25
427,2020-03-03,26
428,2020-03-04,23
429,2020-03-05,26
430,2020-03-06,26
431,2020-03-07,24
432,2020-03-08,25
433,2020-03-09,49
434,2020-03-10,32
435,2020-03-11,29
436,2020-03-12,63
437,2020-03-13,100
438,2020-03-14,50
439,2020-03-15,44
440,2020-03-16,62
441,2020-03-17,45
442,2020-03-18,48
443,2020-03-19,50
444,2020-03-20,45
445,2020-03-21,34
446,2020-03-22,37
447,2020-03-23,40
448,2020-03-24,45
449,2020-03-25,35
450,2020-03-26,31
451,2020-03-27,32
452,2020-03-28,33
453,2020-03-29,33
454,2020-03-30,30
455,2020-03-31,25
456,2020-04-01,54
457,2020-04-02,58
458,2020-04-03,61
459,2020-04-04,53
460,2020-04-05,52
461,2020-04-06,68
462,2020-04-07,61
463,2020-04-08,55
464,2020-04-09,57
465,2020-04-10,55
466,2020-04-11,52
467,2020-04-12,50
468,2020-04-13,57
469,2020-04-14,56
470,2020-04-15,57
471,2020-04-16,61
472,2020-04-17,57
473,2020-04-18,56
474,2020-04-19,55
475,2020-04-20,50
476,2020-04-21,54
477,2020-04-22,56
478,2020-04-23,63
479,2020-04-24,65
480,2020-04-25,54
481,2020-04-26,61
482,2020-04-27,69
483,2020-04-28,69
484,2020-04-29,96
485,2020-04-30,100
486,2020-05-01,52
487,2020-05-02,44
488,2020-05-03,46
489,2020-05-04,51
490,2020-05-05,44
491,2020-05-06,51
492,2020-05-07,63
493,2020-05-08,79
494,2020-05-09,62
495,2020-05-10,92
496,2020-05-11,100
497,2020-05-12,70
498,2020-05-13,58
499,2020-05-14,60
500,2020-05-15,49
501,2020-05-16,48
502,2020-05-17,43
503,2020-05-18,45
504,2020-05-19,43
505,2020-05-20,41
506,2020-05-21,48
507,2020-05-22,40
508,2020-05-23,39
509,2020-05-24,42
510,2020-05-25,39
511,2020-05-26,39
512,2020-05-27,41
513,2020-05-28,38
514,2020-05-29,39
515,2020-05-30,34
516,2020-05-31,37
517,2020-06-01,73
518,2020-06-02,100
519,2020-06-03,79
520,2020-06-04,78
521,2020-06-05,83
522,2020-06-06,62
523,2020-06-07,67
524,2020-06-08,64
525,2020-06-09,69
526,2020-06-10,78
527,2020-06-11,83
528,2020-06-12,75
529,2020-06-13,63
530,2020-06-14,69
531,2020-06-15,73
532,2020-06-16,70
533,2020-06-17,61
534,2020-06-18,63
535,2020-06-19,63
536,2020-06-20,56
537,2020-06-21,54
538,2020-06-22,71
539,2020-06-23,66
540,2020-06-24,68
541,2020-06-25,63
542,2020-06-26,66
543,2020-06-27,62
544,2020-06-28,61
545,2020-06-29,66
546,2020-06-30,64
547,2020-07-01,48
548,2020-07-02,46
549,2020-07-03,42
550,2020-07-04,42
551,2020-07-05,39
552,2020-07-06,44
553,2020-07-07,46
554,2020-07-08,48
555,2020-07-09,47
556,2020-07-10,45
557,2020-07-11,44
558,2020-07-12,39
559,2020-07-13,41
560,2020-07-14,54
561,2020-07-15,62
562,2020-07-16,65
563,2020-07-17,47
564,2020-07-18,52
565,2020-07-19,45
566,2020-07-20,38
567,2020-07-21,47
568,2020-07-22,46
569,2020-07-23,47
570,2020-07-24,53
571,2020-07-25,48
572,2020-07-26,59
573,2020-07-27,97
574,2020-07-28,100
575,2020-07-29,78
576,2020-07-30,66
577,2020-07-31,70
578,2020-08-01,87
579,2020-08-02,100
580,2020-08-03,76
581,2020-08-04,72
582,2020-08-05,71
583,2020-08-06,78
584,2020-08-07,71
585,2020-08-08,61
586,2020-08-09,63
587,2020-08-10,74
588,2020-08-11,64
589,2020-08-12,57
590,2020-08-13,67
591,2020-08-14,71
592,2020-08-15,66
593,2020-08-16,61
594,2020-08-17,80
595,2020-08-18,70
596,2020-08-19,63
597,2020-08-20,57
598,2020-08-21,51
599,2020-08-22,51
600,2020-08-23,50
601,2020-08-24,50
602,2020-08-25,56
603,2020-08-26,45
604,2020-08-27,44
605,2020-08-28,51
606,2020-08-29,41
607,2020-08-30,44
608,2020-08-31,45
609,2020-09-01,86
610,2020-09-02,92
611,2020-09-03,100
612,2020-09-04,94
613,2020-09-05,80
614,2020-09-06,90
615,2020-09-07,79
616,2020-09-08,80
617,2020-09-09,74
618,2020-09-10,73
619,2020-09-11,76
620,2020-09-12,74
621,2020-09-13,68
622,2020-09-14,67
623,2020-09-15,75
624,2020-09-16,71
625,2020-09-17,74
626,2020-09-18,68
627,2020-09-19,66
628,2020-09-20,63
629,2020-09-21,75
630,2020-09-22,63
631,2020-09-23,72
632,2020-09-24,68
633,2020-09-25,62
634,2020-09-26,69
635,2020-09-27,62
636,2020-09-28,67
637,2020-09-29,68
638,2020-09-30,58
639,2020-10-01,37
640,2020-10-02,43
641,2020-10-03,38
642,2020-10-04,39
643,2020-10-05,42
644,2020-10-06,41
645,2020-10-07,41
646,2020-10-08,47
647,2020-10-09,55
648,2020-10-10,45
649,2020-10-11,52
650,2020-10-12,61
651,2020-10-13,48
652,2020-10-14,50
653,2020-10-15,50
654,2020-10-16,50
655,2020-10-17,47
656,2020-10-18,49
657,2020-10-19,48
658,2020-10-20,60
659,2020-10-21,100
660,2020-10-22,100
661,2020-10-23,75
662,2020-10-24,69
663,2020-10-25,71
664,2020-10-26,68
665,2020-10-27,86
666,2020-10-28,87
667,2020-10-29,71
668,2020-10-30,72
669,2020-10-31,68
670,2020-11-01,38
671,2020-11-02,38
672,2020-11-03,40
673,2020-11-04,25
674,2020-11-05,51
675,2020-11-06,58
676,2020-11-07,40
677,2020-11-08,44
678,2020-11-09,47
679,2020-11-10,39
680,2020-11-11,45
681,2020-11-12,46
682,2020-11-13,53
683,2020-11-14,50
684,2020-11-15,39
685,2020-11-16,55
686,2020-11-17,83
687,2020-11-18,97
688,2020-11-19,70
689,2020-11-20,77
690,2020-11-21,79
691,2020-11-22,70
692,2020-11-23,73
693,2020-11-24,100
694,2020-11-25,86
695,2020-11-26,98
696,2020-11-27,75
697,2020-11-28,63
698,2020-11-29,58
699,2020-11-30,86
700,2020-12-01,48
701,2020-12-02,41
702,2020-12-03,40
703,2020-12-04,37
704,2020-12-05,30
705,2020-12-06,27
706,2020-12-07,32
707,2020-12-08,34
708,2020-12-09,32
709,2020-12-10,28
710,2020-12-11,29
711,2020-12-12,24
712,2020-12-13,27
713,2020-12-14,28
714,2020-12-15,31
715,2020-12-16,61
716,2020-12-17,100
717,2020-12-18,65
718,2020-12-19,52
719,2020-12-20,46
720,2020-12-21,54
721,2020-12-22,50
722,2020-12-23,46
723,2020-12-24,40
724,2020-12-25,44
725,2020-12-26,61
726,2020-12-27,80
727,2020-12-28,69
728,2020-12-29,63
729,2020-12-30,74
730,2020-12-31,71
731,2021-01-01,34
732,2021-01-02,60
733,2021-01-03,70
734,2021-01-04,57
735,2021-01-05,48
736,2021-01-06,56
737,2021-01-07,83
738,2021-01-08,83
739,2021-01-09,62
740,2021-01-10,59
741,2021-01-11,100
742,2021-01-12,70
743,2021-01-13,64
744,2021-01-14,61
745,2021-01-15,54
746,2021-01-16,42
747,2021-01-17,39
748,2021-01-18,37
749,2021-01-19,37
750,2021-01-20,37
751,2021-01-21,49
752,2021-01-22,50
753,2021-01-23,33
754,2021-01-24,29
755,2021-01-25,30
756,2021-01-26,31
757,2021-01-27,35
758,2021-01-28,42
759,2021-01-29,65
760,2021-01-30,41
761,2021-01-31,32
762,2021-02-01,38
763,2021-02-02,35
764,2021-02-03,38
765,2021-02-04,39
766,2021-02-05,34
767,2021-02-06,43
768,2021-02-07,39
769,2021-02-08,87
770,2021-02-09,100
771,2021-02-10,63
772,2021-02-11,61
773,2021-02-12,57
774,2021-02-13,48
775,2021-02-14,50
776,2021-02-15,52
777,2021-02-16,59
778,2021-02-17,66
779,2021-02-18,61
780,2021-02-19,68
781,2021-02-20,77
782,2021-02-21,63
783,2021-02-22,72
784,2021-02-23,90
785,2021-02-24,67
786,2021-02-25,54
787,2021-02-26,56
788,2021-02-27,42
789,2021-02-28,50
790,2021-03-01,100
791,2021-03-02,85
792,2021-03-03,85
793,2021-03-04,83
794,2021-03-05,80
795,2021-03-06,69
796,2021-03-07,72
797,2021-03-08,80
798,2021-03-09,89
799,2021-03-10,89
800,2021-03-11,84
801,2021-03-12,80
802,2021-03-13,95
803,2021-03-14,97
804,2021-03-15,94
805,2021-03-16,90
806,2021-03-17,78
807,2021-03-18,83
808,2021-03-19,78
809,2021-03-20,63
810,2021-03-21,58
811,2021-03-22,68
812,2021-03-23,76
813,2021-03-24,84
814,2021-03-25,93
