Date,RSI25
2019-03-25,57.2366
2019-03-26,57.8813
2019-03-27,62.1600
2019-03-28,61.4164
2019-03-29,64.6606
2019-03-30,64.8125
2019-03-31,64.5777
2019-04-01,66.2887
2019-04-02,82.0976
2019-04-03,82.9763
2019-04-04,81.1074
2019-04-05,82.4005
2019-04-06,82.8485
2019-04-07,84.2076
2019-04-08,84.8661
2019-04-09,80.3159
2019-04-10,82.1331
2019-04-11,69.7960
2019-04-12,70.2857
2019-04-13,70.1778
2019-04-14,71.5803
2019-04-15,67.4951
2019-04-16,69.9908
2019-04-17,70.4530
2019-04-18,71.3321
2019-04-19,71.3360
2019-04-20,71.8755
2019-04-21,70.3894
2019-04-22,72.0949
2019-04-23,74.1833
2019-04-24,71.0002
2019-04-25,63.8863
2019-04-26,65.6189
2019-04-27,64.9842
2019-04-28,65.2094
2019-04-29,62.7437
2019-04-30,64.4139
2019-05-01,65.6253
2019-05-02,67.6422
2019-05-03,72.0074
2019-05-04,72.7832
2019-05-05,70.8436
2019-05-06,69.8412
2019-05-07,71.3372
2019-05-08,73.3096
2019-05-09,76.0160
2019-05-10,77.7543
2019-05-11,83.1889
2019-05-12,80.0332
2019-05-13,84.6261
2019-05-14,85.2972
2019-05-15,86.1874
2019-05-16,79.3594
2019-05-17,69.6664
2019-05-18,68.0112
2019-05-19,73.8965
2019-05-20,70.6982
2019-05-21,70.1974
2019-05-22,66.1438
2019-05-23,67.7111
2019-05-24,68.4834
2019-05-25,68.8973
2019-05-26,72.5505
2019-05-27,73.3363
2019-05-28,72.7146
2019-05-29,71.6268
2019-05-30,66.0898
2019-05-31,68.0427
2019-06-01,67.8868
2019-06-02,69.1140
2019-06-03,60.9731
2019-06-04,56.1330
2019-06-05,56.8770
2019-06-06,56.9637
2019-06-07,58.6106
2019-06-08,57.5814
2019-06-09,54.5343
2019-06-10,57.6523
2019-06-11,56.5379
2019-06-12,58.6056
2019-06-13,59.3598
2019-06-14,62.7184
2019-06-15,63.8626
2019-06-16,64.8857
2019-06-17,67.2910
2019-06-18,64.3327
2019-06-19,65.5146
2019-06-20,67.2167
2019-06-21,70.8931
2019-06-22,73.6238
2019-06-23,74.3993
2019-06-24,75.0506
2019-06-25,78.0099
2019-06-26,81.7628
2019-06-27,65.6029
2019-06-28,69.4240
2019-06-29,65.8815
2019-06-30,59.2418
2019-07-01,57.9136
2019-07-02,58.8280
2019-07-03,63.0391
2019-07-04,58.5247
2019-07-05,57.5787
2019-07-06,58.7142
2019-07-07,59.3087
2019-07-08,62.4404
2019-07-09,63.5117
2019-07-10,60.9282
2019-07-11,56.7008
2019-07-12,58.3309
2019-07-13,56.1956
2019-07-14,50.5251
2019-07-15,53.2866
2019-07-16,47.4751
2019-07-17,48.4311
2019-07-18,52.2359
2019-07-19,51.7267
2019-07-20,52.6499
2019-07-21,51.9880
2019-07-22,50.8869
2019-07-23,48.8311
2019-07-24,48.3957
2019-07-25,48.9398
2019-07-26,48.6836
2019-07-27,47.0867
2019-07-28,47.4228
2019-07-29,47.2598
2019-07-30,47.6281
2019-07-31,50.3742
2019-08-01,51.9020
2019-08-02,52.6688
2019-08-03,54.1685
2019-08-04,54.7412
2019-08-05,59.0121
2019-08-06,56.8556
2019-08-07,59.0700
2019-08-08,59.1794
2019-08-09,58.3920
2019-08-10,54.7748
2019-08-11,55.9729
2019-08-12,55.0024
2019-08-13,51.9341
2019-08-14,47.3317
2019-08-15,48.7010
2019-08-16,48.9146
2019-08-17,48.2714
2019-08-18,48.8221
2019-08-19,52.3655
2019-08-20,51.4210
2019-08-21,47.8387
