candle_rep,price_close,volatility_up,RSI,SMA_20,SMA_8,day,volatility
0.06651657797790755,4106.97,0.8047774983919007,66.8845,3979.0615,4019.8675,7,2.1441241252948173
-0.07402014614109027,4103.95,0.22230392574610872,66.4384,3990.6785,4032.11,1,0.8168999681031541
1.0267060578582698,4144.56,0.3446729263560081,69.3943,4003.77,4051.1575,2,2.235255116467269
17.1973246729432,4857.29,0.9820148918818449,88.5141,4053.3345,4166.3038,3,18.275852084911712
1.5525437547223966,4932.6,7.049549224963403,89.2764,4106.1085,4289.31,4,10.736866377473401
-0.6878739161373698,4898.66,2.1589063757579643,86.4904,4154.8535,4396.8863,5,5.313233007405844
2.170194176342811,5004.95,0.47502980419055973,87.7768,4204.802,4519.0288,6,3.013081181715749
0.7778283942329267,5043.89,3.2190067453086475,88.2194,4257.9395,4636.6088,7,5.522721460311368
2.5426065088346794,5170.27,1.2639649985025905,89.5429,4317.0625,4769.5212,1,4.125289811525822
1.2887141290493378,5236.9,1.3171459130761132,90.1699,4378.131,4911.14,2,5.1447990143648195
-1.687162825148235,5150.0,0.0003817974259127261,83.166,4433.479,5036.82,3,3.087213986003294
3.0728155339805827,5308.25,2.20873786407767,85.3913,4499.8595,5093.19,4,5.572815533980583
-5.472827090390473,5017.37,0.4674200148459154,67.6809,4551.3815,5103.7863,5,7.642816502319204
0.610678502880998,5048.01,0.649144870719116,68.4238,4603.4815,5122.455,6,4.372011631591843
-0.03526847632256282,5045.22,1.0303150386368138,68.2699,4656.1335,5127.4888,7,1.8823063205864872
1.6612348809795119,5131.3,0.4297219388007727,70.4762,4715.8925,5138.415,1,3.03103547335783
-2.0721925133689827,5024.95,0.7035281645125654,64.5083,4769.7125,5120.25,2,4.236369872624376
2.9606264738952714,5173.72,0.47761669270340995,68.5237,4826.496,5112.3525,3,3.8563567796694627
0.5624579606163351,5202.82,0.5330787131889612,69.2563,4885.2465,5118.955,4,1.615858608506055
1.0770008515284213,5258.44,0.5489763398117488,70.662,4943.006,5112.7288,5,1.6953681082421381
0.004564091251410898,5258.68,1.1661253147321204,70.6682,5000.5915,5142.8925,6,2.757471797719476
0.6284847147953341,5291.73,0.792784501053506,71.564,5059.9805,5173.3575,7,1.9647516106703529
-0.6947029138980169,5256.14,0.4050701787863483,69.1161,5115.5595,5199.7225,1,2.8216992164990593
1.8969416499759477,5357.14,0.8152303130248482,72.0391,5140.552,5227.9525,2,3.6453310660572344
2.541841355648724,5493.31,1.9915477288254477,75.4172,5168.5875,5286.4975,3,4.995015997341868
-1.3824666585320076,5415.0,1.662565949906299,70.167,5194.4045,5316.6575,4,4.532035673504018
-3.6029547553093324,5219.9,1.4190212373037885,59.1239,5205.152,5318.7925,5,7.199261311172671
1.793516675701615,5314.1,3.752535691230859,62.216,5218.6625,5325.75,6,6.673345503374219
-0.3633113828786529,5295.69,0.517403574788335,61.2409,5224.9335,5330.3763,7,1.5960489181561603
0.2233892089605101,5307.52,0.6133289524122365,61.6568,5228.4645,5332.35,1,1.5204817502535164
-1.3497658108293906,5238.14,0.4179057254402624,57.7441,5232.8715,5330.1,2,2.885225648375362
1.5782319678359125,5320.81,0.36596959989613037,60.9259,5233.4995,5325.5588,3,2.822184974055675
1.1510840032018441,5383.2,0.3532546402251845,63.1793,5251.791,5311.795,4,1.6121940495383298
2.0372640808441087,5492.87,0.8383489374349848,66.8034,5274.034,5321.5288,5,3.120820329915292
5.057135733537632,5772.69,1.2977700775823076,73.8702,5310.4075,5390.6275,6,6.668656423061038
1.019474510537861,5829.45,1.2225722712637495,75.0313,5345.315,5455.0463,7,5.416229105364765
-0.9298727407145669,5775.62,0.1727323095184544,71.7739,5382.8485,5515.0375,1,2.4683395570711264
-0.4397922808573494,5747.79,0.5511693728586274,70.08,5411.552,5570.0713,2,3.219369567552019
1.6768928959011615,5846.34,3.1664788379664364,72.5505,5443.728,5646.0963,3,4.881285304839025
2.4109100736529148,5987.29,0.46918242866477644,75.6477,5480.1705,5729.4063,4,4.148236332474683
3.7169306424617474,6209.18,0.25673747966311583,79.558,5527.6955,5832.6538,5,4.022944346263194
2.6309390574803357,6373.33,1.539303859129303,81.8764,5581.7755,5942.7113,6,4.78135894813968
10.996743611140747,7076.22,4.2002083084973485,88.1001,5672.7795,6105.6525,7,15.233186304343727
-1.5393768441997357,6967.31,6.296281641097531,83.3254,5753.288,6247.885,1,10.90663968435214
11.803123887810987,7790.71,4.438566983915593,88.4306,5868.158,6499.7713,2,17.651516021262186
1.9490431806578632,7947.56,5.367629515035361,89.1143,5994.786,6774.7425,3,9.831674709644641
2.8269685321814473,8169.87,0.9959397175171123,90.015,6142.2845,7065.1838,4,5.0218620913601315
-3.7028649492966137,7866.59,1.84745405847415,80.2589,6269.909,7300.0963,5,7.528387529562693
-6.524736708999105,7355.26,0.7158770160649758,67.0619,6372.8875,7443.3563,6,12.861131550821167
-1.3300649329461276,7257.45,1.3965477860802071,64.8647,6470.384,7553.8713,7,4.097600635189964
12.279464044578438,8148.48,1.7445833999327656,73.411,6615.901,7687.9038,1,14.220263127435476
-2.5747612279913694,7938.15,0.09928890001644766,69.1361,6746.768,7809.2588,2,7.401011789482983
-0.4068205756215065,7904.87,1.3249071456289132,68.4568,6872.8515,7823.5288,3,3.4183511482696542
-3.4923233406878036,7628.43,1.4108454952128469,62.926,6979.6295,7783.6375,4,6.9707305224379095
2.9328246676630227,7851.51,1.1729463279058094,65.3583,7083.5705,7743.8425,5,6.292508980308864
