time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-19T21:23:47.3220000Z,56891.62,58320.0,55600.0,57774.39,48587.54206,1468031
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:00.0030000Z,2021-11-18T23:59:59.9970000Z,60344.86,60976.0,56474.26,56891.62,57416.14159,1831582
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:00.0010000Z,2021-11-17T23:59:59.9960000Z,60058.87,60840.23,58373.0,60344.87,46289.38491,1471305
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:00.0140000Z,2021-11-16T23:59:59.9930000Z,63606.73,63617.31,58601.0,60058.87,72454.32092,2208540
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-15T23:59:59.9980000Z,65519.11,66401.82,63400.0,63606.74,37829.37124,1305209
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:00.1470000Z,2021-11-14T23:59:59.9930000Z,64380.01,65550.51,63576.27,65519.1,25705.07347,951393
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:00.0050000Z,2021-11-13T23:59:59.9850000Z,64122.22,65000.0,63360.22,64380.0,20912.00617,852618
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:00.0060000Z,2021-11-12T23:59:59.9970000Z,64774.25,65450.7,62278.0,64122.23,44490.10816,1479149
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-11T23:59:59.9960000Z,64882.42,65600.07,64100.0,64774.26,37237.98058,1327827
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-10T23:59:59.9980000Z,66947.67,69000.0,62822.9,64882.43,61202.782626,2230683
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:00.0020000Z,2021-11-09T23:59:59.9960000Z,67525.82,68524.25,66222.4,66947.66,43534.228778,1814764
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:00.0380000Z,2021-11-08T23:59:59.9960000Z,63273.58,67789.0,63273.58,67525.83,54442.094554,2349581
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:00.4270000Z,2021-11-07T23:59:59.9990000Z,61470.62,63286.35,61322.78,63273.59,25515.6883,1068629
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:00.0290000Z,2021-11-06T23:59:59.9980000Z,60940.18,61560.49,60050.0,61470.61,24775.33082,932272
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:00.3100000Z,2021-11-05T23:59:59.9990000Z,61395.01,62595.72,60721.0,60937.12,31604.48749,1243074
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:00.0110000Z,2021-11-04T23:59:59.9980000Z,62896.49,63086.31,60677.01,61395.01,34775.59034,1313961
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-03T23:59:59.9950000Z,63220.57,63500.0,61462.59,62896.48,40080.73045,1497116
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-02T23:59:59.9950000Z,60911.12,64270.0,60624.68,63219.99,45630.90236,1817994
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:00.1490000Z,2021-11-01T23:59:59.9940000Z,61299.81,62437.74,59405.0,60911.11,44687.66672,1472636
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:00.0090000Z,2021-10-31T23:59:59.9940000Z,61859.19,62405.3,59945.36,61299.8,39220.00069,1561093
