Date,SMA_20
2019-03-16,3859.0025
2019-03-17,3866.6635
2019-03-18,3875.5925
2019-03-19,3885.4655
2019-03-20,3896.9330
2019-03-21,3904.8150
2019-03-22,3913.1650
2019-03-23,3923.0780
2019-03-24,3936.9220
2019-03-25,3940.8415
2019-03-26,3945.1770
2019-03-27,3953.3975
2019-03-28,3961.5435
2019-03-29,3969.5540
2019-03-30,3979.0615
2019-03-31,3990.6785
2019-04-01,4003.7700
2019-04-02,4053.3345
2019-04-03,4106.1085
2019-04-04,4154.8535
2019-04-05,4204.8020
2019-04-06,4257.9395
2019-04-07,4317.0625
2019-04-08,4378.1310
2019-04-09,4433.4790
2019-04-10,4499.8595
2019-04-11,4551.3815
2019-04-12,4603.4815
2019-04-13,4656.1335
2019-04-14,4715.8925
2019-04-15,4769.7125
2019-04-16,4826.4960
2019-04-17,4885.2465
2019-04-18,4943.0060
2019-04-19,5000.5915
2019-04-20,5059.9805
2019-04-21,5115.5595
2019-04-22,5140.5520
2019-04-23,5168.5875
2019-04-24,5194.4045
2019-04-25,5205.1520
2019-04-26,5218.6625
2019-04-27,5224.9335
2019-04-28,5228.4645
2019-04-29,5232.8715
2019-04-30,5233.4995
2019-05-01,5251.7910
2019-05-02,5274.0340
2019-05-03,5310.4075
2019-05-04,5345.3150
2019-05-05,5382.8485
2019-05-06,5411.5520
2019-05-07,5443.7280
2019-05-08,5480.1705
2019-05-09,5527.6955
2019-05-10,5581.7755
2019-05-11,5672.7795
2019-05-12,5753.2880
2019-05-13,5868.1580
2019-05-14,5994.7860
2019-05-15,6142.2845
2019-05-16,6269.9090
2019-05-17,6372.8875
2019-05-18,6470.3840
2019-05-19,6615.9010
2019-05-20,6746.7680
2019-05-21,6872.8515
2019-05-22,6979.6295
2019-05-23,7083.5705
2019-05-24,7190.3415
2019-05-25,7302.8310
2019-05-26,7446.1630
2019-05-27,7591.6620
2019-05-28,7728.0795
2019-05-29,7849.9045
2019-05-30,7944.7150
2019-05-31,8018.6540
2019-06-01,8097.4920
2019-06-02,8144.2555
2019-06-03,8152.6685
2019-06-04,8128.5265
2019-06-05,8124.0220
2019-06-06,8145.5940
2019-06-07,8181.7480
2019-06-08,8169.0050
2019-06-09,8153.5040
2019-06-10,8157.3980
2019-06-11,8170.2215
2019-06-12,8184.0280
2019-06-13,8196.7115
2019-06-14,8227.9410
2019-06-15,8237.6545
2019-06-16,8247.5050
2019-06-17,8277.4210
2019-06-18,8299.2145
2019-06-19,8348.5120
2019-06-20,8396.6180
2019-06-21,8477.4075
2019-06-22,8577.5835
2019-06-23,8717.0960
2019-06-24,8885.5740
2019-06-25,9087.7920
2019-06-26,9353.1470
2019-06-27,9520.6200
2019-06-28,9745.9705
2019-06-29,9959.7205
2019-06-30,10103.2880
2019-07-01,10240.2895
2019-07-02,10376.0500
2019-07-03,10562.1230
2019-07-04,10686.9065
2019-07-05,10795.0080
2019-07-06,10910.1660
2019-07-07,11014.7800
2019-07-08,11172.6325
2019-07-09,11337.0285
2019-07-10,11466.5910
2019-07-11,11525.7425
2019-07-12,11577.1285
2019-07-13,11599.6130
2019-07-14,11555.4925
2019-07-15,11506.3855
2019-07-16,11323.6750
2019-07-17,11240.5715
2019-07-18,11151.8980
2019-07-19,11081.9560
2019-07-20,11076.2625
2019-07-21,11074.4885
2019-07-22,11049.3615
2019-07-23,10945.6070
2019-07-24,10876.4875
2019-07-25,10821.9445
2019-07-26,10750.3200
2019-07-27,10653.8340
2019-07-28,10518.9810
2019-07-29,10367.1925
2019-07-30,10240.4845
2019-07-31,10177.3665
2019-08-01,10108.2550
2019-08-02,10066.6545
2019-08-03,10098.7885
2019-08-04,10103.3140
2019-08-05,10222.7745
2019-08-06,10313.4630
2019-08-07,10380.8565
2019-08-08,10455.6305
2019-08-09,10512.6185
2019-08-10,10548.6115
2019-08-11,10609.0945
2019-08-12,10685.6530
2019-08-13,10742.1245
2019-08-14,10750.6495
2019-08-15,10774.1460
2019-08-16,10816.8970
2019-08-17,10850.6210
2019-08-18,10890.5780
2019-08-19,10957.6445
2019-08-20,10991.6435
2019-08-21,10980.0225
2019-08-22,10958.8290
2019-08-23,10937.4635
2019-08-24,10897.7195
2019-08-25,10813.4140
2019-08-26,10757.9420
2019-08-27,10668.4430
2019-08-28,10554.5045
2019-08-29,10435.4270
2019-08-30,10349.1885
2019-08-31,10251.0635
2019-09-01,10167.5085
2019-09-02,10139.8730
2019-09-03,10168.1185
2019-09-04,10181.7730
2019-09-05,10193.4205
2019-09-06,10197.5560
2019-09-07,10205.0110
2019-09-08,10178.2930
2019-09-09,10155.4235
2019-09-10,10153.2025
2019-09-11,10156.1250
2019-09-12,10157.3980
2019-09-13,10167.7835
2019-09-14,10177.4000
2019-09-15,10173.8880
2019-09-16,10177.2010
2019-09-17,10200.5420
2019-09-18,10233.4695
2019-09-19,10266.4570
2019-09-20,10295.5130
2019-09-21,10308.5835
2019-09-22,10293.0270
2019-09-23,10247.3755
2019-09-24,10143.6815
2019-09-25,10036.9595
2019-09-26,9925.2095
2019-09-27,9811.3110
2019-09-28,9702.1925
2019-09-29,9589.2275
2019-09-30,9498.7870
2019-10-01,9405.4925
2019-10-02,9302.7390
2019-10-03,9196.8340
2019-10-04,9086.9395
2019-10-05,8978.1485
2019-10-06,8858.2955
2019-10-07,8758.4090
2019-10-08,8658.9790
2019-10-09,8574.8015
2019-10-10,8494.2735
2019-10-11,8407.8790
2019-10-12,8321.4400
2019-10-13,8250.0780
2019-10-14,8242.8310
2019-10-15,8229.2930
2019-10-16,8225.6935
2019-10-17,8220.3270
2019-10-18,8207.7370
2019-10-19,8202.9465
2019-10-20,8199.6470
2019-10-21,8194.8885
2019-10-22,8177.8915
2019-10-23,8140.0245
2019-10-24,8103.7885
2019-10-25,8130.2300
2019-10-26,8199.0175
2019-10-27,8266.0095
2019-10-28,8317.8470
2019-10-29,8360.1910
2019-10-30,8390.0255
2019-10-31,8434.1430
2019-11-01,8480.7190
2019-11-02,8531.4445
2019-11-03,8573.7700
2019-11-04,8635.4730
2019-11-05,8701.3190
2019-11-06,8764.7425
2019-11-07,8828.2020
2019-11-08,8869.4880
2019-11-09,8898.7910
2019-11-10,8940.9010
2019-11-11,8976.5645
2019-11-12,9044.3305
2019-11-13,9112.5660
2019-11-14,9112.1490
2019-11-15,9074.2355
2019-11-16,9022.2900
2019-11-17,8987.1530
2019-11-18,8926.1305
2019-11-19,8875.0765
2019-11-20,8822.9345
2019-11-21,8742.7410
2019-11-22,8641.6765
2019-11-23,8547.5195
2019-11-24,8423.0160
2019-11-25,8313.0615
2019-11-26,8203.9160
2019-11-27,8118.5320
2019-11-28,8050.8200
2019-11-29,7997.3335
2019-11-30,7922.4545
2019-12-01,7855.3355
2019-12-02,7778.9525
2019-12-03,7704.7320
